CODIGO;Código Nuevo;NOMBRE;Región Codigo;Región Nombre;COMUNA;Nom. Comuna;SS Codigo;SS Nombre;Tipo de Establecimiento;Nivel de Atención;Nivel de Atención DEIS;Dependencia de Ejecución;Certificación;Hospital;Especialidad;ACTIVO;Vigente;Código Nuevo
29-424;129424;Posta de Salud Rural Curilebu;9;De La Araucanía;09207;Lumaco;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129424
29-425;129425;Posta de Salud Rural Manzanar ( Lumaco );9;De La Araucanía;09207;Lumaco;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129425
29-426;129426;Posta de Salud Rural Chanco;9;De La Araucanía;09207;Lumaco;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129426
29-427;129427;Posta de Salud Rural La Herradura;9;De La Araucanía;09207;Lumaco;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129427
29-428;129428;Posta de Salud Rural Loncoyán;9;De La Araucanía;09208;Purén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129428
29-429;129429;Posta de Salud Rural Selva Oscura;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129429
29-430;129430;Posta de Salud Rural Púa;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129430
29-431;129431;Posta de Salud Rural Quino;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129431
29-432;129432;Centro Comunitario de Salud Familiar Pailahueque;9;De La Araucanía;09204;Ercilla;29;A. Norte;0;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129432
29-433;129433;Posta de Salud Rural Rosario;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129433
29-434;129434;Posta de Salud Rural Cullinco;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129434
29-435;129435;Posta de Salud Rural California;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129435
29-436;129436;Posta de Salud Rural Reducción Pailahueque;9;De La Araucanía;09211;Victoria;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129436
29-437;129437;Posta de Salud Rural Huitranlebu;9;De La Araucanía;09208;Purén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129437
29-438;129438;Posta de Salud Rural Chacaico;9;De La Araucanía;09204;Ercilla;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129438
29-439;129439;Posta de Salud Rural Tricauco;9;De La Araucanía;09204;Ercilla;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129439
29-440;129440;Posta de Salud Rural Temocuicui;9;De La Araucanía;09204;Ercilla;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129440
29-441;129441;Posta de Salud Rural Malalcahuello;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129441
29-442;129442;Posta de Salud Rural Río Blanco (Curacautín);9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129442
29-443;129443;Posta de Salud Rural La Tepa;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129443
29-444;129444;Posta de Salud Rural Santa Ana;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129444
29-445;129445;Posta de Salud Rural Radalco;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129445
29-446;129446;Posta de Salud Rural Rariruca;9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129446
29-447;129447;Posta de Salud Rural Manzanar ( Curacautín );9;De La Araucanía;09203;Curacautín;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129447
29-448;129448;Posta de Salud Rural Contraco;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129448
29-449;129449;Posta de Salud Rural Lolén;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129449
29-450;129450;Posta de Salud Rural Sierra Nevada;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129450
29-451;129451;Posta de Salud Rural Icalma;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;Autogestionado;NO;Atención de Especialidad;SI;SI;129451
29-452;129452;Posta de Salud Rural Liucura (Lonquimay);9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;Invitado;NO;Atención de Especialidad;SI;SI;129452
29-453;129453;Posta de Salud Rural Pedregoso (Lonquimay);9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129453
29-454;129454;Posta de Salud Rural Pichipehuenco;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129454
29-455;129455;Posta de Salud Rural Troyo;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129455
29-456;129456;Posta de Salud Rural Ranquil;9;De La Araucanía;09205;Lonquimay;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;Atención de Especialidad;SI;SI;129456
29-585;129585;Posta de Salud Rural Pivadenco;9;De La Araucanía;09206;Los Sauces;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129585
29-586;129586;Posta de Salud Rural Didaico;9;De La Araucanía;09210;Traiguén;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129586
29-587;129587;Posta de Salud Rural Encinar;9;De La Araucanía;09202;Collipulli;29;A. Norte;Posta de Salud Rural;Primario;Primario;Municipal;No Autogestionado;NO;No Especialidad;SI;SI;129587
